T_K,NCa_mol_per_m2,Ecalc,t_star_s,sigma_s
1163.0,3000.0,0.6995,48.46,63.5
1163.0,5000.0,0.8023,48.46,105.8
1163.0,7500.0,0.8618,48.46,158.7
1163.0,10000.0,0.8938,48.46,211.6
1163.0,12500.0,0.9138,48.46,264.6
1163.0,15000.0,0.9274,48.46,317.5
1168.0,3000.0,0.8392,22.96,63.5
1168.0,5000.0,0.899,22.96,105.8
1168.0,7500.0,0.9311,22.96,158.7
1168.0,10000.0,0.9477,22.96,211.6
1168.0,12500.0,0.9578,22.96,264.6
1168.0,15000.0,0.9647,22.96,317.5
1173.0,3000.0,0.8955,14.29,63.5
1173.0,5000.0,0.9354,14.29,105.8
1173.0,7500.0,0.9563,14.29,158.7
1173.0,10000.0,0.967,14.29,211.6
1173.0,12500.0,0.9735,14.29,264.6
1173.0,15000.0,0.9778,14.29,317.5
1183.0,3000.0,0.9439,7.41,63.5
1183.0,5000.0,0.9658,7.41,105.8
1183.0,7500.0,0.977,7.41,158.7
1183.0,10000.0,0.9827,7.41,211.6
1183.0,12500.0,0.9861,7.41,264.6
1183.0,15000.0,0.9884,7.41,317.5
1193.0,3000.0,0.9649,4.56,63.5
1193.0,5000.0,0.9788,4.56,105.8
1193.0,7500.0,0.9858,4.56,158.7
1193.0,10000.0,0.9893,4.56,211.6
1193.0,12500.0,0.9914,4.56,264.6
1193.0,15000.0,0.9929,4.56,317.5
