T_K,fCO2,Ecalc,t_star_s,sigma_s
1160.0,0.7,0.9444,24.44,211.6
1160.0,0.8,0.7652,118.8,211.6
1160.0,0.9,0.0,inf,211.6
1160.0,1.0,0.0,inf,211.6
1165.0,0.7,0.9637,15.77,211.6
1165.0,0.8,0.9238,34.0,211.6
1165.0,0.9,0.0,inf,211.6
1165.0,1.0,0.0,inf,211.6
1170.0,0.7,0.974,11.2,211.6
1170.0,0.8,0.9573,18.62,211.6
1170.0,0.9,0.8802,55.2,211.6
1170.0,1.0,0.0,inf,211.6
1175.0,0.7,0.9804,8.41,211.6
1175.0,0.8,0.9716,12.25,211.6
1175.0,0.9,0.9487,22.5,211.6
1175.0,1.0,0.7342,138.27,211.6
1180.0,0.7,0.9847,6.56,211.6
1180.0,0.8,0.9795,8.8,211.6
1180.0,0.9,0.9691,13.38,211.6
1180.0,1.0,0.9369,27.87,211.6
1185.0,0.7,0.9877,5.24,211.6
1185.0,0.8,0.9844,6.66,211.6
1185.0,0.9,0.9787,9.13,211.6
1185.0,1.0,0.9665,14.51,211.6
1190.0,0.7,0.99,4.27,211.6
1190.0,0.8,0.9878,5.22,211.6
1190.0,0.9,0.9843,6.7,211.6
1190.0,1.0,0.9782,9.36,211.6
1195.0,0.7,0.9917,3.53,211.6
1195.0,0.8,0.9902,4.19,211.6
1195.0,0.9,0.9879,5.14,211.6
1195.0,1.0,0.9844,6.66,211.6
